Trend of Change,Floor,Rooms,Property Type,Block and Parcel,Transaction Price,Transaction Date,Area (m²),Address,Serial Number
"green arrow up
							
								
									
										
											
											
										
									
								
							
						 148.8% ב 15 שנים","שניה","6","דירה בבית קומות","6430-233-26","4,560,000 ₪","05/12/2024","144.1","מאיר אריאל 12","2"
"green arrow up
							
								
									
										
											
											
										
									
								
							
						 125.9% ב 10.4 שנים","שלישית","6","דירה בבית קומות","6430-253-9","4,800,000 ₪","21/11/2024","127","קרן המוסיקה 2","3"
"green arrow up
							
								
									
										
											
											
										
									
								
							
						 102.8% ב 10 שנים","קומה ‎5‏","6","דירה בבית קומות","6430-225-41","4,380,000 ₪","10/10/2024","144.8","עפרה חזה 10","4"
"green arrow up
							
								
									
										
											
											
										
									
								
							
						 112.2% ב 14.1 שנים","שניה","4","דירה בבית קומות","6429-290-25","3,410,000 ₪","27/09/2024","104.4","ג'ו עמר 5","5"
"green arrow up
							
								
									
										
											
											
										
									
								
							
						 43.5% ב 6.9 שנים","ראשונה","4","דירה בבית קומות","6430-251-4","3,300,000 ₪","22/09/2024","106.07","אהוד מנור 15","6"
"","שניה","5","דירה בבית קומות","6429-306-3","4,250,000 ₪","02/08/2024","150","משה וילנסקי 3","7"
"","קומה ‎6‏","4","דירה בבית קומות","6430-244-19","3,585,000 ₪","02/07/2024","99.4","ללא כתובת","8"
"green arrow up
							
								
									
										
											
											
										
									
								
							
						 44.7% ב 3.3 שנים","שלישית","4","דירה בבית קומות","6429-276-11","3,400,000 ₪","01/07/2024","114.1","עלי מוהר 2","9"
"","קומה ‎1‏","4","דירה בבית קומות","6430-244-4","3,525,000 ₪","10/06/2024","99.4","ללא כתובת","10"
"","קומה ‎6‏","4","דירה בבית קומות","6430-244-18","3,625,000 ₪","03/06/2024","99.9","ללא כתובת","12"
"green arrow up
							
								
									
										
											
											
										
									
								
							
						 95.9% ב 10.5 שנים","שישית","4","דירה בבית קומות","6429-276-54","3,320,000 ₪","24/05/2024","108","עלי מוהר 2","13"
"green arrow up
							
								
									
										
											
											
										
									
								
							
						 82.2% ב 9.2 שנים","שלישית","4","דירה בבית קומות","6430-239-15","3,535,000 ₪","10/05/2024","91.93","יאיר רוזנבלום 28","14"
"green arrow up
							
								
									
										
											
											
										
									
								
							
						 19.2% ב 2.2 שנים","חמישית","4","דירה בבית קומות","6429-289-18","3,100,000 ₪","11/04/2024","104","משה וילנסקי 15","15"
"green arrow up
							
								
									
										
											
											
										
									
								
							
						 105.2% ב 14 שנים","ראשונה","4","דירה בבית קומות","6429-307-3","3,150,000 ₪","02/04/2024","103.4","דוד זהבי 15","16"
"green arrow up
							
								
									
										
											
											
										
									
								
							
						 6.3% ב 2.2 שנים","רביעית","4","דירה בבית קומות","6430-251-36","3,310,000 ₪","27/02/2024","106.07","אהוד מנור 17","17"
"green arrow up
							
								
									
										
											
											
										
									
								
							
						 28.2% ב 2.9 שנים","רביעית","6","דירה בבית קומות","6430-223-30","4,200,000 ₪","01/02/2024","147.1","יאיר רוזנבלום 17","18"
"green arrow up
							
								
									
										
											
											
										
									
								
							
						 112.6% ב 7.9 שנים","קומה ‎5‏","4","דירה בבית קומות","6430-244-16","3,370,000 ₪","31/01/2024","99.4","ללא כתובת","19"
"green arrow up
							
								
									
										
											
											
										
									
								
							
						 112.9% ב 7.9 שנים","קומה ‎4‏","4","דירה בבית קומות","6430-244-34","3,375,000 ₪","11/01/2024","101.8","ללא כתובת","20"
"green arrow up
							
								
									
										
											
											
										
									
								
							
						 41.5% ב 6.6 שנים","שניה","4","דירה בבית קומות","6430-240-18","3,296,000 ₪","10/12/2023","92","סשה ארגוב 7","22"
"","ראשונה","5","דירה בבית קומות","6429-346-1","3,750,000 ₪","30/08/2023","150","ללא כתובת","23"
"","ראשונה","5","דירה בבית קומות","6429-346-2","4,390,000 ₪","24/08/2023","175","ללא כתובת","24"
"green arrow up
							
								
									
										
											
											
										
									
								
							
						 93.4% ב 9.9 שנים","רביעית","5","דירה בבית קומות","6429-292-30","4,400,000 ₪","24/08/2023","131.19","ג'ו עמר 6","25"
"green arrow up
							
								
									
										
											
											
										
									
								
							
						 153% ב 14.6 שנים","שלישית","4","דירה בבית קומות","6430-251-10","3,200,000 ₪","15/08/2023","106.07","אהוד מנור 15","26"
"green arrow up
							
								
									
										
											
											
										
									
								
							
						 222.8% ב 14.4 שנים","קרקע","6","דירה בבית קומות","6430-276-21","5,552,000 ₪","25/07/2023","130.67","מאיר אריאל 13","27"
"green arrow up
							
								
									
										
											
											
										
									
								
							
						 119.5% ב 10.1 שנים","ראשונה","4","דירה בבית קומות","6430-268-1","4,100,000 ₪","25/07/2023","89","אהוד מנור 10","28"
"green arrow up
							
								
									
										
											
											
										
									
								
							
						 130.5% ב 12.5 שנים","ראשונה","6","דירה בבית קומות","6430-259-3","4,380,000 ₪","05/07/2023","140.5","אהוד מנור 2","29"
"","קומה ‎3‏","4","דירה בבית קומות","6430-269-9","3,300,000 ₪","03/07/2023","103.8","אהוד מנור 8","30"
"","קומה ‎3‏","5","דירה בבית קומות","6430-243-9","3,550,000 ₪","11/06/2023","130","אהוד מנור 12","32"
"","ראשונה","5","דירה בבית קומות","6429-346-3","4,800,000 ₪","28/05/2023","120","ללא כתובת","33"
"green arrow up
							
								
									
										
											
											
										
									
								
							
						 90.2% ב 9.4 שנים","ראשונה","4","דירה בבית קומות","6430-251-27","3,300,000 ₪","17/05/2023","106.07","אהוד מנור 17","34"
"green arrow up
							
								
									
										
											
											
										
									
								
							
						 111.4% ב 7.2 שנים","קומה ‎1‏","4","דירה בבית קומות","6430-244-23","3,350,000 ₪","17/05/2023","99.4","ללא כתובת","35"
"green arrow up
							
								
									
										
											
											
										
									
								
							
						 155.9% ב 13.2 שנים","שלישית","5","דירה בבית קומות","6429-292-9","4,350,000 ₪","07/05/2023","116.66","ג'ו עמר 6","36"
"green arrow up
							
								
									
										
											
											
										
									
								
							
						 130.6% ב 9.3 שנים","שישית, שביעית","7","קוטג' דו משפחתי","6429-275-18","6,410,000 ₪","24/04/2023","214.66","יאיר רוזנבלום 3","37"
"green arrow up
							
								
									
										
											
											
										
									
								
							
						 93.7% ב 9.1 שנים","שלוש עשרה","6","דירה בבית קומות","6429-344-51","7,100,000 ₪","24/03/2023","167.8","קרן המוסיקה 5","38"
"green arrow up
							
								
									
										
											
											
										
									
								
							
						 115.6% ב 12.4 שנים","שלישית","5","דירה בבית קומות","6429-290-28","3,880,000 ₪","26/02/2023","129.65","ג'ו עמר 5","39"
"green arrow up
							
								
									
										
											
											
										
									
								
							
						 114.5% ב 12.8 שנים","שלישית","4","דירה בבית קומות","6430-233-10","3,282,000 ₪","21/02/2023","102.35","מאיר אריאל 12","40"
"","קומה ‎2‏","4","דירה בבית קומות","6430-244-27","3,650,000 ₪","10/11/2022","99.95","ללא כתובת","42"
"","קומה ‎3‏","5","דירה בבית קומות","6430-261-9","317,000 ₪","15/09/2022","140","אהוד מנור 6","43"
"green arrow up
							
								
									
										
											
											
										
									
								
							
						 64.7% ב 6.2 שנים","קומה ‎3‏","4","דירה בבית קומות","6430-243-23","3,542,000 ₪","07/09/2022","102.4","אהוד מנור 12","44"
"green arrow up
							
								
									
										
											
											
										
									
								
							
						 88.2% ב 8.3 שנים","שלישית","4","דירה בבית קומות","6429-292-7","3,425,000 ₪","05/09/2022","92.22","ג'ו עמר 6","45"
"green arrow up
							
								
									
										
											
											
										
									
								
							
						 11.1% ב 0.3 שנים","ראשונה","4","דירה בבית קומות","6429-344-4","3,500,000 ₪","08/08/2022","108.7","קרן המוסיקה 5","46"
"","קומה ‎5‏","4","דירה בבית קומות","6430-244-14","3,570,000 ₪","08/08/2022","101.8","ללא כתובת","47"
"","קומה ‎1‏","4","דירה בבית קומות","6430-269-3","3,800,000 ₪","06/07/2022","91.1","אהוד מנור 8","48"
"green arrow up
							
								
									
										
											
											
										
									
								
							
						 45.8% ב 1.8 שנים","ראשונה","4","דירה בבית קומות","6430-260-8","3,500,000 ₪","14/06/2022","91.9","אהוד מנור 4","49"
"green arrow up
							
								
									
										
											
											
										
									
								
							
						 154.5% ב 8.1 שנים","קומה ‎6‏, קומה ‎7‏","7","דירה בבית קומות","6430-261-17","7,000,000 ₪","20/05/2022","196","אהוד מנור 6","50"
"green arrow up
							
								
									
										
											
											
										
									
								
							
						 93% ב 9.6 שנים","שניה","4","דירה בבית קומות","6429-284-8","3,262,000 ₪","15/03/2022","88.9","משה וילנסקי 8","52"
"green arrow up
							
								
									
										
											
											
										
									
								
							
						 178.1% ב 13.2 שנים","חמישית","6","דירה בבית קומות","6430-251-15","4,450,000 ₪","09/03/2022","144.97","אהוד מנור 15","53"
"green arrow up
							
								
									
										
											
											
										
									
								
							
						 141.2% ב 12.4 שנים","ראשונה","6","דירה בבית קומות","6430-251-3","4,100,000 ₪","03/03/2022","144.97","אהוד מנור 15","54"
"green arrow up
							
								
									
										
											
											
										
									
								
							
						 113.9% ב 9 שנים","חמישית","6","דירה בבית קומות","6429-280-32","4,175,000 ₪","28/02/2022","148.3","יאיר רוזנבלום 2","55"
"green arrow up
							
								
									
										
											
											
										
									
								
							
						 111.9% ב 11.2 שנים","שניה","5","דירה בבית קומות","6429-290-6","4,090,000 ₪","23/02/2022","144.24","ג'ו עמר 5","56"
"green arrow up
							
								
									
										
											
											
										
									
								
							
						 64.7% ב 6.8 שנים","רביעית","4","דירה בבית קומות","6430-276-12","3,130,000 ₪","15/02/2022","93.82","מאיר אריאל 13","57"
